Row#,Code,Description
1,ASST MGR,ASSISTANT MANAGER LEVEL
2,CLERICALS,CLERICALS LEVEL
3,CRL,CLERICALS LEVEL
4,DIR,DIRECTORS
5,EXEC - MID,EXECUTIVE - MIDDLE LEVEL
6,EXEC - SR,EXECUTIVE - SENIOR LEVEL
7,EXEC-JR,EXECUTIVE-JUNIOR LEVEL
8,EXEC-MID,EXECUTIVE- MIDDLE LEVEL
9,EXEC-SR,EXECUTIVE- SENIOR LEVEL
10,GEN WORKER,GENERAL WORKERS
11,MGR,MANAGER LEVEL
12,SPVR,SUPERVISOR LEVEL
13,TMGMT,TOP MANAGEMENT
14,TOP MGMT,TOP MANAGEMENT
