Row#,Code,Description,Active
105,GEN MGR,GENERAL MANAGER,TRUE
106,GEN WORKER,GENERAL WORKER,TRUE
107,GLUE SPVS,GLUE SUPERVISOR,TRUE
108,GM,GENERAL MANAGER,TRUE
109,GM S&M,GENERAL MANAGER OF S&M DIV,TRUE
110,GUARD,GUARD,TRUE
111,HELPER,HELPER,TRUE
112,HR ADM EXE,HR & ADMIN EXECUTIVE,TRUE
113,HR AST,HUMAN RESOURCE & ADMIN ASSISTANT,TRUE
114,HR EXEC,HUMAN RESOURCE EXECUTIVE,TRUE
115,HR MGR,HUMAN RESOURCE ASST. MGR,TRUE
116,HRM,HUMAN RESOURCE MANAGER,TRUE
117,IE,INDUSTRIAL ENGINEER,TRUE
118,IT ANALYST,IT ANALYST PROGRAMMER EXECUTIVE,TRUE
119,IT ENG,IT ENGINEER,TRUE
120,IT EXEC,IT EXECUTIVE,TRUE
121,IT MGR,INFORMATION TECHNOLOGY MANAGER,TRUE
122,IT PR EXEC,IT PROJECT & SYSTEM SUPPORT EXECUTIVE,TRUE
123,IT PRODUCT,IT PRODUCTION SUPPORT - ERP EXECUTIVE,TRUE
124,IT S/A EXE,IT SOFTWARE APPLICATION EXECUTIVE,TRUE
125,IT SUP MGR,IT SUPPORT MANAGER,TRUE
126,IT TECH,IT TECHNICIAN,TRUE
127,JNR CHMST,JUNIOR CHEMIST,TRUE
128,JNR ENG,JUNIOR ENGINEER,TRUE
129,JT,JUNIOR TECHNICIAN (MAINTENANCE),TRUE
130,KEY MGR,KEY ACC MANAGER,TRUE
131,LAB ANLST,LAB ANALYST,TRUE
132,LAB AST,LAB ASSISTANT,TRUE
133,LAB CHMST,LABORATORY CHEMIST,TRUE
134,LEADER,LEADER,TRUE
135,LG ADM EXE,LEGAL & ADMIN EXECUTIVE,TRUE
136,LINE LEAD,LINE LEADER,TRUE
137,LOG AST,LOGISTICS ASSISTANT,TRUE
138,LOG CLERK,LOGISTIC CLERK,TRUE
139,LOG EXEC,LOGISTIC EXECUTIVE,TRUE
140,LOG MGR,LOGISTIC MANAGER,TRUE
141,LOG SPVR,LOGISTIC SUPERVISOR,TRUE
142,M TRAINEE,MANAGEMENT TRAINEE,TRUE
143,MAIN CLERK,MAINTENANCE CLERK,TRUE
144,MAIN ENG,MAINTENANCE ENGINEER,TRUE
145,MAIN MGR,MAINTENANCE MANAGER,TRUE
146,MAIN SPVR,MAINTENANCE SUPERVISOR,TRUE
147,MAIN TECH,MAINTENANCE TECHNICIAN,TRUE
148,MD,MANAGING DIRECTOR,TRUE
149,MECH ENG,MECHANICAL ENGINEER,TRUE
150,MGMT TRN,MANAGEMENT TRAINEE,TRUE
151,MKTG EXEC,MARKETING EXECUTIVE,TRUE
152,MKTG MGR,MARKETING MANAGER,TRUE
153,MT C FR EN,MAINT CUM FACTORY RESOURCES ENGINEER,TRUE
154,MT C RS MG,MAINTENANCE CUM RESOURCES MANAGER,TRUE
155,NTL SL MGR,NATIONAL SALES MANAGER,TRUE
156,O/L QC,ONLINE QC,TRUE
157,OP MGR,OPERATION MANAGER,TRUE
158,OP&TC LDR,OPERATION & TECHNICAL LEADER,TRUE
159,OPERATOR,OPERATOR,TRUE
160,OPR ASST,OPERATION ASSISTANT,TRUE
161,OPR TECH,OPERATION TECHNICIAN,TRUE
162,OPT,OPERATOR,TRUE
163,OPT SPVR,OPERATION SUPERVISOR,TRUE
164,P & E MGR,PROCESS & ENGINEERING MANAGER,TRUE
165,P/C DRIVER,PERSONAL CUM COMPANY DRIVER,TRUE
166,PA,PERSONAL ASSISTANT,TRUE
167,PA OFF MNG,PA  TO MD CUM OFFICE MANAGER,TRUE
168,PA TO CEO,PERSONAL ASSISTANT TO CEO,TRUE
