Row#,Code,Description
1,BANGLADESH,BANGLADESH
2,CHINESE,CHINESE
3,INDIAN,INDIAN
4,INDONESIA,INDONESIA
5,MALAY,MALAY
6,MYANMAR,MYANMAR
7,NEPAL,NEPAL
8,OTHERS,OTHERS
9,PHILIPINE,PHILIPINE
10,VIETNAM,VIETNAM
