Row#,Code,Description
1,5K,5K ABOVE
2,CLERK,CLERICAL LEVEL
3,EXEC,EXECUTIVE - OFFICE
4,GEN WKR,GENERAL WORKER
5,MGMT,MANAGEMENT
6,MGR,MANAGERIAL STAFF
7,MKTG,MARKETING
8,PROD,PRODUCTION STAFF
9,SLS & EXS,SALES & EXPORT
10,SUPPORT,SUPPORT STAFF
11,TECH & RND,TECHNICAL & RND
